@relation Cities_Above_90_Without_PM10_attributesremoved

@attribute PM2.5 numeric
@attribute NO numeric
@attribute NO2 numeric
@attribute NOx numeric
@attribute NH3 numeric
@attribute CO numeric
@attribute SO2 numeric
@attribute O3 numeric
@attribute AQI numeric

@data
7.97,4.26,6.48,7,8.66,0.61,6.01,11.52,40
6.48,2.39,3.54,3.83,8.32,0.47,5.97,11.63,33
7.2,3.7,5.73,6.14,7.23,0.5,7.01,18.9,49
8.27,3.72,5.86,6.14,6.04,0.53,6.69,7.51,32
9.21,2.67,3.26,3.9,6.59,0.44,6.91,11.95,42
19.78,3,4.9,5.14,6.3,0.66,7.64,23.67,53
8.85,2.7,3.86,4.26,5.01,0.36,5.44,20.73,47
18.48,3.36,12.71,9.5,6.68,0.76,7.38,17.57,79
11.04,3.76,5.11,5.87,6.78,0.48,6.21,16.31,47
9.74,3.94,4.84,5.87,5.66,0.66,7.51,12.65,51
10.35,3.51,5.55,5.81,4.43,1.01,5.38,7.55,52
22.81,3.12,6.96,6.33,5.76,0.8,7.09,34.26,88
28.54,4.29,22.75,15.68,8.96,0.85,7.28,32.62,78
18.46,3.59,14.17,10.55,12.76,0.49,6.37,30.3,90
23.9,4.65,26.74,18.01,12.69,0.56,6.01,12.46,43
14.42,3.41,6.9,6.44,7.77,0.43,9.19,35.44,55
12.42,4.47,10.28,9.11,4.63,0.51,5.82,36.88,52
16.78,2.87,5.94,5.57,7.82,0.4,7.31,50.24,84
19.77,3.66,10,8.38,9.3,1.03,12.02,43.79,95
22.63,2.87,14.93,10.28,9.67,0.26,9.43,41.32,58
15.2,4.69,9.26,8.84,8.99,1.18,6.82,54.21,125
9.58,3.12,9.05,7.35,13.54,0.59,7.27,122.21,192
16.44,2.37,7.26,5.79,9.16,?,8.06,40.47,81
13.23,2.51,5.4,4.92,9.37,?,6.55,29.12,65
25.62,4.28,13.88,10.97,11.52,0.48,7.3,44.62,86
40.32,4.36,11.3,9.65,10.61,0.5,7.57,24.35,62
13.07,3.8,8.59,7.75,9.78,0.46,6.09,29.05,78
16.56,3.03,7.25,6.31,9.48,0.41,6.48,62.01,114
19.57,3.72,7.72,7.22,10.79,0.34,5.99,64.58,103
30.96,3.63,10.82,8.8,11.18,0.36,11.72,82.13,134
32.1,3.17,10.17,8.07,9.85,0.29,6.4,105.09,168
31.82,3.17,9.57,7.76,9.97,0.32,9.41,100.6,150
37.5,3.27,11.57,8.91,10.06,0.57,4.53,79.11,127
23.25,4.29,15.21,11.68,9.62,0.43,9.78,57.54,106
27.42,3.36,19.38,13.04,7.89,0.32,6.83,77.6,129
31.26,2.6,10.78,7.92,9.02,0.4,7.7,100.25,136
28.12,2.67,13.18,9.28,11.27,0.38,7.28,126.43,155
32.33,3.37,18.42,12.62,13.99,0.51,6.22,44.58,87
19.29,2.93,13.9,9.86,17.3,0.42,5.87,65.87,84
17.99,2.8,10.45,7.92,14.89,0.32,6.37,63.95,85
12.72,2.33,9.03,6.78,10.79,0.4,5.82,72.26,91
13.65,1.9,6.11,4.79,9.14,0.46,7.1,60.03,76
17.64,3.95,10.06,8.65,9.74,0.49,5.81,46.41,60
23.43,5.5,13.82,11.83,10.29,0.79,6.68,46.96,69
25.92,4.85,15.08,11.96,9.72,0.61,6.36,36.27,64
32.7,3.83,11.83,9.5,11.4,0.55,8.41,47.71,98
31.58,4.62,13.57,11.07,13.41,1.13,8.66,62.14,128
22.9,3.08,10.96,8.42,10.54,0.75,5.29,61.1,113
24.23,3,8.32,6.95,10.85,0.98,9,59.68,87
17.92,3.53,7.85,7.13,10.72,0.46,6.66,52.83,79
17.38,4.73,9.13,8.79,9.36,0.84,6.18,54.36,69
19.06,4.75,11.31,9.96,10.32,1.02,5.43,62.58,78
18.81,3.91,11.7,9.49,11.32,1.01,5.53,62.72,88
18.69,3.48,12.39,9.52,12.21,0.81,7.62,68.32,101
17.85,3.35,11.42,8.88,11.67,1.05,6.86,63.17,80
18.09,3,7.26,6.39,9.25,1,6.14,64.6,89
18.93,3.85,7.4,7.15,10.94,0.55,6.76,50.27,71
16.86,2.98,8.54,6.96,10.01,0.52,7.12,50.39,68
16.85,5.26,10.6,10,11.26,0.57,7.55,43.4,56
16.46,5.95,17.41,14.19,11.74,0.61,4.72,40.44,65
18.4,4.29,13.66,10.85,13.37,0.38,5.51,48,66
20.31,3.84,12.76,9.99,12.81,0.41,7.54,61.59,96
23.99,3.45,16.64,11.74,15.06,0.51,5.01,46.14,68
20.36,4.47,15.53,11.98,13.73,0.52,6.62,53.13,76
15.08,5.11,13.96,11.66,10.28,0.4,4.9,44.36,70
19.42,5.64,13.23,11.71,10.96,0.41,5.6,47.28,75
13.93,5.11,10.72,9.94,11.11,0.33,6.52,44.77,73
18.29,6.12,17.63,14.44,13.21,0.63,6.53,37.35,85
17.25,2.58,6.82,5.82,11.04,0.37,4.65,65.23,83
13.43,2.11,5.31,4.54,9.79,0.46,5.17,54.03,73
16.83,3.04,7.43,6.51,9.56,0.37,5.69,61.43,75
18.16,3.03,6.81,6.17,10.87,0.36,5.36,53.27,63
16.89,2.61,6.37,5.51,10.19,0.39,6.75,54.84,62
15.95,7.52,7.16,10.56,16.27,0.64,8.77,37.76,79
14.05,2.4,7.74,6.2,13.78,0.16,6.45,30.33,37
9.85,3.12,7.5,6.61,15.05,0.4,6.02,21.63,35
8.68,2.19,5.01,4.44,12.07,0.31,6.29,19.52,31
7.5,3.64,6.56,6.54,11.23,0.3,7.42,20.89,29
7.75,4.99,8.7,8.78,13.07,0.44,10.4,25.38,32
10.45,4.1,11.13,9.34,14.62,0.47,9.94,28.24,39
12.7,4.31,9.81,8.8,11.05,0.42,8.98,32.3,48
14.48,5.28,12.77,11.09,12.61,0.5,9.81,24.28,42
17.96,5.68,14.95,12.66,14.75,0.69,6.51,32.73,73
16.87,2.22,7.8,5.94,14.92,0.38,12.46,31.82,59
17.42,5.71,16.26,13.39,15.6,0.47,11.83,28.85,55
17.79,7.15,16.25,14.55,14.24,0.62,10.42,26.08,86
18.75,4.66,15.45,12.1,16.15,0.55,9.13,27.44,100
11.92,3.33,7.75,6.92,16.19,0.57,10.97,29.93,85
17.74,10.41,20.1,19.29,18.23,0.49,10.98,27.33,57
21.78,5.21,20.63,15.21,18.8,0.44,9.64,25.7,85
28.31,9.45,24.83,20.98,18.71,0.54,6.69,31.12,85
27.1,9.04,23.91,20.07,21.23,0.47,12.6,23.43,106
20.21,4.66,16.41,12.61,18.05,0.34,6.74,29.91,100
18.52,6.99,18.33,15.52,20.07,0.43,12.46,28.73,68
25.59,10.33,21.95,20.17,21.89,0.5,8.64,26.4,61
21.79,4.79,15.65,12.3,19.74,0.38,11.1,30.57,71
24,1.4,28.8,16.4,35.2,0.95,2.9,17.6,77
18.47,7.36,16.89,15.06,16.57,0.8,11.49,22.14,111
16.73,6.61,16.05,14,19.69,0.44,9.02,20.11,47
18.72,7.08,25.46,19.29,22.11,0.42,12.33,18.28,47
11.39,4.4,11.2,9.63,24.46,0.39,9.47,21.17,48
10.62,3.71,9.32,8.1,17.43,0.59,10.32,14.62,49
8.1,2.78,8.58,6.84,11.88,0.77,8.72,14.52,50
9.28,5.01,7.85,8.31,14.27,0.92,8.12,12.29,57
7.45,3.99,8.92,8.08,14.63,0.88,8.35,16.01,60
15.32,3.13,10.48,8.12,15.07,0.88,8.93,14.12,52
8.84,3.77,6.74,6.74,18.92,0.95,8.39,21.01,54
11.39,3.02,7.96,6.77,13.6,0.96,11.82,26.34,63
12.51,2.71,6.6,5.8,14.61,0.86,9.47,28.28,53
8.71,1.36,6.04,4.31,20.04,1.03,8.12,22.3,56
11.3,5.81,11.69,11.08,9.62,1.2,9.05,24.93,112
7,1.7,7.66,5.45,17.12,1.08,8.39,17.77,75
15.76,4.78,19.03,14.1,16.38,1.36,9.46,23.34,89
18.79,5.2,20.45,15.18,18.52,1.1,10.01,22.54,76
15.05,3.3,14.59,10.44,19.91,0.95,10.12,22.85,78
10.1,4.73,13.33,11.02,19.26,0.87,9.24,20.67,66
